Fund Name,Correct At     (Date - dd/mm/yyyy ),ISIN Code,Fund Sedol,Current Price
T. Bailey Dynamic A Acc,01/11/2018,GB00B1LB2Z79B1LB2Z7,,79.34
T. Bailey Dynamic A Acc,02/11/2018,GB00B1LB2Z79B1LB2Z7,,79.54
T. Bailey Dynamic A Acc,05/11/2018,GB00B1LB2Z79B1LB2Z7,,79.91
T. Bailey Dynamic A Acc,06/11/2018,GB00B1LB2Z79B1LB2Z7,,79.76
T. Bailey Dynamic A Acc,07/11/2018,GB00B1LB2Z79B1LB2Z7,,79.79
T. Bailey Dynamic A Acc,08/11/2018,GB00B1LB2Z79B1LB2Z7,,79.86
T. Bailey Dynamic A Acc,09/11/2018,GB00B1LB2Z79B1LB2Z7,,80.07
T. Bailey Dynamic A Acc,12/11/2018,GB00B1LB2Z79B1LB2Z7,,79.86
T. Bailey Dynamic A Acc,13/11/2018,GB00B1LB2Z79B1LB2Z7,,79.82
T. Bailey Dynamic A Acc,14/11/2018,GB00B1LB2Z79B1LB2Z7,,79.59
T. Bailey Dynamic A Acc,15/11/2018,GB00B1LB2Z79B1LB2Z7,,79.37
T. Bailey Dynamic A Acc,16/11/2018,GB00B1LB2Z79B1LB2Z7,,79.48
T. Bailey Dynamic A Acc,19/11/2018,GB00B1LB2Z79B1LB2Z7,,79.5
T. Bailey Dynamic A Acc,20/11/2018,GB00B1LB2Z79B1LB2Z7,,79.56
T. Bailey Dynamic A Acc,21/11/2018,GB00B1LB2Z79B1LB2Z7,,79.06
T. Bailey Dynamic A Acc,22/11/2018,GB00B1LB2Z79B1LB2Z7,,79.05
T. Bailey Dynamic A Acc,23/11/2018,GB00B1LB2Z79B1LB2Z7,,78.96
T. Bailey Dynamic A Acc,26/11/2018,GB00B1LB2Z79B1LB2Z7,,78.98
T. Bailey Dynamic A Acc,27/11/2018,GB00B1LB2Z79B1LB2Z7,,79.03
T. Bailey Dynamic A Acc,28/11/2018,GB00B1LB2Z79B1LB2Z7,,79.08
T. Bailey Dynamic A Acc,29/11/2018,GB00B1LB2Z79B1LB2Z7,,79.17
T. Bailey Dynamic A Acc,30/11/2018,GB00B1LB2Z79B1LB2Z7,,79.47
T. Bailey Dynamic A Acc,03/12/2018,GB00B1LB2Z79B1LB2Z7,,79.64
T. Bailey Dynamic A Acc,04/12/2018,GB00B1LB2Z79B1LB2Z7,,80.07
