Fund Name,Correct At     (Date - dd/mm/yyyy ),ISIN Code,Fund Sedol,Current Price
T. Bailey Dynamic F Acc,16/12/2019,GB00BJQWRN41,BJQWRN4,83.62
T. Bailey Dynamic F Acc,17/12/2019,GB00BJQWRN41,BJQWRN4,83.84
T. Bailey Dynamic F Acc,18/12/2019,GB00BJQWRN41,BJQWRN4,84.05
T. Bailey Dynamic F Acc,19/12/2019,GB00BJQWRN41,BJQWRN4,84.26
T. Bailey Dynamic F Acc,20/12/2019,GB00BJQWRN41,BJQWRN4,84.44
T. Bailey Dynamic F Acc,23/12/2019,GB00BJQWRN41,BJQWRN4,84.67
T. Bailey Dynamic F Acc,24/12/2019,GB00BJQWRN41,BJQWRN4,84.81
T. Bailey Dynamic F Acc,27/12/2019,GB00BJQWRN41,BJQWRN4,85.13
T. Bailey Dynamic F Acc,30/12/2019,GB00BJQWRN41,BJQWRN4,85.09
T. Bailey Dynamic F Acc,31/12/2019,GB00BJQWRN41,BJQWRN4,85.24
T. Bailey Dynamic F Acc,02/01/2020,GB00BJQWRN41,BJQWRN4,85.25
T. Bailey Dynamic F Acc,03/01/2020,GB00BJQWRN41,BJQWRN4,85.32
T. Bailey Dynamic F Acc,06/01/2020,GB00BJQWRN41,BJQWRN4,85.41
T. Bailey Dynamic F Acc,07/01/2020,GB00BJQWRN41,BJQWRN4,85.23
T. Bailey Dynamic F Acc,08/01/2020,GB00BJQWRN41,BJQWRN4,85.36
T. Bailey Dynamic F Acc,09/01/2020,GB00BJQWRN41,BJQWRN4,85.23
T. Bailey Dynamic F Acc,10/01/2020,GB00BJQWRN41,BJQWRN4,85.45
T. Bailey Dynamic F Acc,13/01/2020,GB00BJQWRN41,BJQWRN4,85.63
T. Bailey Dynamic F Acc,14/01/2020,GB00BJQWRN41,BJQWRN4,85.71
T. Bailey Dynamic F Acc,15/01/2020,GB00BJQWRN41,BJQWRN4,85.82
T. Bailey Dynamic F Acc,16/01/2020,GB00BJQWRN41,BJQWRN4,85.94
T. Bailey Dynamic F Acc,17/01/2020,GB00BJQWRN41,BJQWRN4,86.05
T. Bailey Dynamic F Acc,20/01/2020,GB00BJQWRN41,BJQWRN4,86.12
T. Bailey Dynamic F Acc,21/01/2020,GB00BJQWRN41,BJQWRN4,86.04
T. Bailey Dynamic F Acc,22/01/2020,GB00BJQWRN41,BJQWRN4,85.79
T. Bailey Dynamic F Acc,23/01/2020,GB00BJQWRN41,BJQWRN4,85.78
T. Bailey Dynamic F Acc,24/01/2020,GB00BJQWRN41,BJQWRN4,85.71
T. Bailey Dynamic F Acc,27/01/2020,GB00BJQWRN41,BJQWRN4,85.71
T. Bailey Dynamic F Acc,28/01/2020,GB00BJQWRN41,BJQWRN4,85.13
T. Bailey Dynamic F Acc,29/01/2020,GB00BJQWRN41,BJQWRN4,85.02
T. Bailey Dynamic F Acc,30/01/2020,GB00BJQWRN41,BJQWRN4,85.07
T. Bailey Dynamic F Acc,31/01/2020,GB00BJQWRN41,BJQWRN4,84.75
T. Bailey Dynamic F Acc,03/02/2020,GB00BJQWRN41,BJQWRN4,84.51
T. Bailey Dynamic F Acc,04/02/2020,GB00BJQWRN41,BJQWRN4,84.39
T. Bailey Dynamic F Acc,05/02/2020,GB00BJQWRN41,BJQWRN4,84.7
T. Bailey Dynamic F Acc,06/02/2020,GB00BJQWRN41,BJQWRN4,85.05
T. Bailey Dynamic F Acc,07/02/2020,GB00BJQWRN41,BJQWRN4,85.21
T. Bailey Dynamic F Acc,10/02/2020,GB00BJQWRN41,BJQWRN4,85.2
T. Bailey Dynamic F Acc,11/02/2020,GB00BJQWRN41,BJQWRN4,85.06
T. Bailey Dynamic F Acc,12/02/2020,GB00BJQWRN41,BJQWRN4,85.32
