Fund Name,Correct At     (Date - dd/mm/yyyy ),ISIN Code,Fund Sedol,Current Price
T. Bailey Growth A Acc,01/11/2018,GB0009346486,934648,158.25
T. Bailey Growth A Acc,02/11/2018,GB0009346486,934648,159.02
T. Bailey Growth A Acc,05/11/2018,GB0009346486,934648,161.17
T. Bailey Growth A Acc,06/11/2018,GB0009346486,934648,160.36
T. Bailey Growth A Acc,07/11/2018,GB0009346486,934648,159.94
T. Bailey Growth A Acc,08/11/2018,GB0009346486,934648,160.29
T. Bailey Growth A Acc,09/11/2018,GB0009346486,934648,161.41
T. Bailey Growth A Acc,12/11/2018,GB0009346486,934648,161.21
T. Bailey Growth A Acc,13/11/2018,GB0009346486,934648,160.51
T. Bailey Growth A Acc,14/11/2018,GB0009346486,934648,159.09
T. Bailey Growth A Acc,15/11/2018,GB0009346486,934648,158.6
T. Bailey Growth A Acc,16/11/2018,GB0009346486,934648,159.6
T. Bailey Growth A Acc,19/11/2018,GB0009346486,934648,159.91
T. Bailey Growth A Acc,20/11/2018,GB0009346486,934648,159.98
T. Bailey Growth A Acc,21/11/2018,GB0009346486,934648,157.51
T. Bailey Growth A Acc,22/11/2018,GB0009346486,934648,156.84
T. Bailey Growth A Acc,23/11/2018,GB0009346486,934648,157.5
T. Bailey Growth A Acc,26/11/2018,GB0009346486,934648,157.39
T. Bailey Growth A Acc,27/11/2018,GB0009346486,934648,158.16
T. Bailey Growth A Acc,28/11/2018,GB0009346486,934648,159.01
T. Bailey Growth A Acc,29/11/2018,GB0009346486,934648,159.44
T. Bailey Growth A Acc,30/11/2018,GB0009346486,934648,161.51
T. Bailey Growth A Acc,03/12/2018,GB0009346486,934648,162.01
T. Bailey Growth A Acc,04/12/2018,GB0009346486,934648,163.6
T. Bailey Growth A Acc,05/12/2018,GB0009346486,934648,163.18
T. Bailey Growth A Acc,06/12/2018,GB0009346486,934648,161.26
T. Bailey Growth A Acc,07/12/2018,GB0009346486,934648,158.52
T. Bailey Growth A Acc,10/12/2018,GB0009346486,934648,158.95
T. Bailey Growth A Acc,11/12/2018,GB0009346486,934648,157.55
T. Bailey Growth A Acc,12/12/2018,GB0009346486,934648,158.12
T. Bailey Growth A Acc,13/12/2018,GB0009346486,934648,159.25
T. Bailey Growth A Acc,14/12/2018,GB0009346486,934648,159.22
T. Bailey Growth A Acc,17/12/2018,GB0009346486,934648,157.91
T. Bailey Growth A Acc,18/12/2018,GB0009346486,934648,156.76
T. Bailey Growth A Acc,19/12/2018,GB0009346486,934648,154.89
T. Bailey Growth A Acc,20/12/2018,GB0009346486,934648,155.42
T. Bailey Growth A Acc,21/12/2018,GB0009346486,934648,153.95
T. Bailey Growth A Acc,24/12/2018,GB0009346486,934648,152.7
T. Bailey Growth A Acc,27/12/2018,GB0009346486,934648,151.83
T. Bailey Growth A Acc,28/12/2018,GB0009346486,934648,152
T. Bailey Growth A Acc,31/12/2018,GB0009346486,934648,152.28
T. Bailey Growth A Acc,02/01/2019,GB0009346486,934648,153.34
T. Bailey Growth A Acc,03/01/2019,GB0009346486,934648,153.82
T. Bailey Growth A Acc,04/01/2019,GB0009346486,934648,153.57
T. Bailey Growth A Acc,07/01/2019,GB0009346486,934648,152.96
T. Bailey Growth A Acc,08/01/2019,GB0009346486,934648,154.41
T. Bailey Growth A Acc,09/01/2019,GB0009346486,934648,155.46
T. Bailey Growth A Acc,10/01/2019,GB0009346486,934648,156.94
T. Bailey Growth A Acc,11/01/2019,GB0009346486,934648,157.12
T. Bailey Growth A Acc,14/01/2019,GB0009346486,934648,157.11
T. Bailey Growth A Acc,15/01/2019,GB0009346486,934648,156.01
T. Bailey Growth A Acc,16/01/2019,GB0009346486,934648,156.39
T. Bailey Growth A Acc,17/01/2019,GB0009346486,934648,156.86
T. Bailey Growth A Acc,18/01/2019,GB0009346486,934648,156.74
T. Bailey Growth A Acc,21/01/2019,GB0009346486,934648,157.51
T. Bailey Growth A Acc,22/01/2019,GB0009346486,934648,158.03
T. Bailey Growth A Acc,23/01/2019,GB0009346486,934648,157
T. Bailey Growth A Acc,24/01/2019,GB0009346486,934648,155.8
T. Bailey Growth A Acc,25/01/2019,GB0009346486,934648,155.9
T. Bailey Growth A Acc,28/01/2019,GB0009346486,934648,156.2
T. Bailey Growth A Acc,29/01/2019,GB0009346486,934648,155.9
T. Bailey Growth A Acc,30/01/2019,GB0009346486,934648,155.94
T. Bailey Growth A Acc,31/01/2019,GB0009346486,934648,156.14
T. Bailey Growth A Acc,01/02/2019,GB0009346486,934648,157.51
T. Bailey Growth A Acc,04/02/2019,GB0009346486,934648,158.35
T. Bailey Growth A Acc,05/02/2019,GB0009346486,934648,158.75
T. Bailey Growth A Acc,06/02/2019,GB0009346486,934648,159.76
T. Bailey Growth A Acc,07/02/2019,GB0009346486,934648,160.71
T. Bailey Growth A Acc,08/02/2019,GB0009346486,934648,160.14
T. Bailey Growth A Acc,11/02/2019,GB0009346486,934648,158.76
T. Bailey Growth A Acc,12/02/2019,GB0009346486,934648,159.37
T. Bailey Growth A Acc,13/02/2019,GB0009346486,934648,160.38
T. Bailey Growth A Acc,14/02/2019,GB0009346486,934648,161.67
T. Bailey Growth A Acc,15/02/2019,GB0009346486,934648,162.24
T. Bailey Growth A Acc,18/02/2019,GB0009346486,934648,161.97
T. Bailey Growth A Acc,19/02/2019,GB0009346486,934648,162.42
T. Bailey Growth A Acc,20/02/2019,GB0009346486,934648,161.91
T. Bailey Growth A Acc,21/02/2019,GB0009346486,934648,161.74
T. Bailey Growth A Acc,22/02/2019,GB0009346486,934648,161.9
T. Bailey Growth A Acc,25/02/2019,GB0009346486,934648,162.21
T. Bailey Growth A Acc,26/02/2019,GB0009346486,934648,162.77
T. Bailey Growth A Acc,27/02/2019,GB0009346486,934648,161.86
T. Bailey Growth A Acc,28/02/2019,GB0009346486,934648,160.75
T. Bailey Growth A Acc,01/03/2019,GB0009346486,934648,160.5
T. Bailey Growth A Acc,04/03/2019,GB0009346486,934648,161.26
T. Bailey Growth A Acc,05/03/2019,GB0009346486,934648,162.23
T. Bailey Growth A Acc,06/03/2019,GB0009346486,934648,162
T. Bailey Growth A Acc,07/03/2019,GB0009346486,934648,162.36
T. Bailey Growth A Acc,08/03/2019,GB0009346486,934648,161.26
T. Bailey Growth A Acc,11/03/2019,GB0009346486,934648,160.31
T. Bailey Growth A Acc,12/03/2019,GB0009346486,934648,161.09
T. Bailey Growth A Acc,13/03/2019,GB0009346486,934648,161.74
T. Bailey Growth A Acc,14/03/2019,GB0009346486,934648,161.76
T. Bailey Growth A Acc,15/03/2019,GB0009346486,934648,161.3
T. Bailey Growth A Acc,18/03/2019,GB0009346486,934648,161.71
T. Bailey Growth A Acc,19/03/2019,GB0009346486,934648,162.44
T. Bailey Growth A Acc,20/03/2019,GB0009346486,934648,162.88
T. Bailey Growth A Acc,21/03/2019,GB0009346486,934648,163.13
T. Bailey Growth A Acc,22/03/2019,GB0009346486,934648,163.57
T. Bailey Growth A Acc,25/03/2019,GB0009346486,934648,163.87
T. Bailey Growth A Acc,26/03/2019,GB0009346486,934648,160.84
T. Bailey Growth A Acc,27/03/2019,GB0009346486,934648,161.65
T. Bailey Growth A Acc,28/03/2019,GB0009346486,934648,162.24
T. Bailey Growth A Acc,29/03/2019,GB0009346486,934648,162.4
T. Bailey Growth A Acc,01/04/2019,GB0009346486,934648,163.51
